Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1677888000000,2023-03-04,ETHUSDT,1569.45,1577.53,1549.12,1566.73,237640.2606,371865636.794456,442158
1677974400000,2023-03-05,ETHUSDT,1566.74,1588.77,1553.05,1564.58,299240.7415,469729098.462738,505034
1678060800000,2023-03-06,ETHUSDT,1564.57,1583.49,1554.44,1565.84,307709.3011,482146763.966397,495130
1678147200000,2023-03-07,ETHUSDT,1565.84,1584.49,1536.14,1561.96,437947.9032,682865640.744412,601157
1678233600000,2023-03-08,ETHUSDT,1561.95,1570.89,1523.61,1532.38,460101.7658,714552395.9932791,647197
1678320000000,2023-03-09,ETHUSDT,1532.38,1546.45,1408.0,1437.32,718485.1364,1072396877.907578,914935
1678406400000,2023-03-10,ETHUSDT,1437.32,1439.43,1368.39,1426.44,960262.4509,1353741388.827259,1155209
1678492800000,2023-03-11,ETHUSDT,1426.43,1478.07,1408.4,1471.97,1374859.6201,1987926852.348374,1467256
1678579200000,2023-03-12,ETHUSDT,1471.93,1594.19,1448.3,1580.33,1002355.0929,1506839740.469654,1253899
1678665600000,2023-03-13,ETHUSDT,1580.33,1693.49,1565.0,1673.45,1228063.6053,1992277884.7963407,1671283
1678752000000,2023-03-14,ETHUSDT,1673.44,1780.02,1655.24,1699.4,1283321.2355,2195733827.910122,1750035
1678838400000,2023-03-15,ETHUSDT,1699.41,1716.9,1611.0,1649.96,963142.4833,1602460705.895695,1388384
1678924800000,2023-03-16,ETHUSDT,1649.95,1691.42,1632.18,1673.73,627985.6119,1040043241.140285,1004406
1679011200000,2023-03-17,ETHUSDT,1673.73,1800.0,1662.65,1789.27,907528.2825,1569265196.452905,1293055
1679097600000,2023-03-18,ETHUSDT,1789.26,1841.0,1747.47,1758.84,711614.731,1280189359.4245489,1115890
1679184000000,2023-03-19,ETHUSDT,1758.84,1841.36,1757.92,1780.68,541131.8908,972006261.580209,919093
1679270400000,2023-03-20,ETHUSDT,1780.67,1803.05,1722.0,1732.78,682848.1248,1205036446.951221,1083767
1679356800000,2023-03-21,ETHUSDT,1732.77,1835.0,1717.01,1801.23,742348.4999,1324018564.211035,1166036
1679443200000,2023-03-22,ETHUSDT,1801.23,1819.98,1710.12,1734.33,891287.6009,1581074700.20938,1286030
1679529600000,2023-03-23,ETHUSDT,1734.34,1857.16,1729.35,1813.79,732061.103,1312199315.5775049,1074713
1679616000000,2023-03-24,ETHUSDT,1813.78,1818.99,1726.4,1749.57,564770.1417,1001546184.532135,855600
1679702400000,2023-03-25,ETHUSDT,1749.57,1763.23,1713.09,1741.88,355679.3743,620341997.183512,620651
