Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USDT,tradecount
1619222400000,2021-04-24,XRPUSDT,1.17019,1.172,1.01753,1.04833,1120813592.2,1223943584.741048,1014696
1619308800000,2021-04-25,XRPUSDT,1.04971,1.156,0.9418,1.0351,1026066203.52,1083686710.5408976,961195
1619395200000,2021-04-26,XRPUSDT,1.0353,1.375,1.0133,1.3629,1871916062.93,2295854108.1151314,1945810
1619481600000,2021-04-27,XRPUSDT,1.3629,1.462,1.3284,1.4017,1510880106.82,2118259481.8930912,1761603
1619568000000,2021-04-28,XRPUSDT,1.4017,1.4492,1.2814,1.3576,1092879174.17,1485523114.708695,1315064
1619654400000,2021-04-29,XRPUSDT,1.3576,1.42,1.3263,1.3978,824625421.08,1140421598.270039,1032010
1619740800000,2021-04-30,XRPUSDT,1.3978,1.6397,1.3745,1.5988,1429394131.02,2214906822.015991,1930398
1619827200000,2021-05-01,XRPUSDT,1.5989,1.6666,1.5226,1.651,701328204.71,1113456410.580291,1023624
1619913600000,2021-05-02,XRPUSDT,1.651,1.658,1.525,1.5605,602425194.39,951116358.690543,864202
1620000000000,2021-05-03,XRPUSDT,1.5605,1.6216,1.47,1.5546,670988111.68,1056220070.6253208,967335
1620086400000,2021-05-04,XRPUSDT,1.5546,1.558,1.32,1.3877,1375223308.72,1969497041.495127,1713307
1620172800000,2021-05-05,XRPUSDT,1.3878,1.624,1.366,1.6133,1261641294.96,1919965081.164776,1700958
1620259200000,2021-05-06,XRPUSDT,1.6137,1.7658,1.521,1.6028,1507415092.61,2502923635.432614,2269649
1620345600000,2021-05-07,XRPUSDT,1.6028,1.695,1.505,1.5793,894697893.67,1424596624.880693,1310586
1620432000000,2021-05-08,XRPUSDT,1.5795,1.6277,1.5404,1.5611,514586255.38,813345139.867209,795157
1620518400000,2021-05-09,XRPUSDT,1.5611,1.5968,1.4249,1.5345,726954201.32,1101438306.388421,1079947
1620604800000,2021-05-10,XRPUSDT,1.5343,1.627,1.214,1.3906,1154086820.05,1710822393.281455,1632861
1620691200000,2021-05-11,XRPUSDT,1.391,1.4905,1.3555,1.4786,724101053.89,1034939727.8433032,991833
1620777600000,2021-05-12,XRPUSDT,1.4788,1.547,1.235,1.2691,1028881609.0,1466457937.998855,1353513
1620864000000,2021-05-13,XRPUSDT,1.269,1.389,1.2,1.364,1308704814.37,1704562073.983852,1598396
1620950400000,2021-05-14,XRPUSDT,1.3644,1.4488,1.321,1.4,772801586.76,1068218575.674334,1034406
1621036800000,2021-05-15,XRPUSDT,1.3998,1.5869,1.3211,1.4904,1495464769.52,2182427860.642728,1978749
1621123200000,2021-05-16,XRPUSDT,1.4911,1.6131,1.3373,1.4496,1498147985.65,2246034545.927513,2174991
1621209600000,2021-05-17,XRPUSDT,1.4496,1.565,1.3242,1.4946,1560737399.7,2285970917.9552274,2069831
1621296000000,2021-05-18,XRPUSDT,1.4952,1.705,1.4698,1.5889,1813933407.63,2869966240.904703,2485498
1621382400000,2021-05-19,XRPUSDT,1.5893,1.6448,0.85,1.0568,3180237280.29,4014465848.075416,3550130
1621468800000,2021-05-20,XRPUSDT,1.0565,1.2664,0.9,1.1795,1974341688.46,2249207333.90962,2316148
1621555200000,2021-05-21,XRPUSDT,1.1802,1.2194,0.8641,1.0062,1813489499.17,1910760508.201792,1950848
1621641600000,2021-05-22,XRPUSDT,1.0062,1.0162,0.816,0.9052,1478148766.91,1344592320.99863,1504686
1621728000000,2021-05-23,XRPUSDT,0.9052,0.9679,0.65,0.7898,1976494217.2,1525740498.7046142,1911010
1621814400000,2021-05-24,XRPUSDT,0.7899,0.997,0.7537,0.993,1613054853.94,1380671268.94531,1605890
